Date,Close
1/3/2023 16:00:00,33.6
1/4/2023 16:00:00,37.7
1/5/2023 16:00:00,33.53
1/6/2023 16:00:00,33.26
1/9/2023 16:00:00,38.27
1/10/2023 16:00:00,43.23
1/11/2023 16:00:00,43.79
1/12/2023 16:00:00,47.55
1/13/2023 16:00:00,49.98
1/17/2023 16:00:00,54.14
1/18/2023 16:00:00,50.21
1/19/2023 16:00:00,49.42
1/20/2023 16:00:00,55.16
1/23/2023 16:00:00,55.96
1/24/2023 16:00:00,53.56
1/25/2023 16:00:00,52.76
1/26/2023 16:00:00,53.02
1/27/2023 16:00:00,61.37
1/30/2023 16:00:00,56.16
1/31/2023 16:00:00,58.48
2/1/2023 16:00:00,65.7
2/2/2023 16:00:00,81.46
2/3/2023 16:00:00,74.63
2/6/2023 16:00:00,74.59
2/7/2023 16:00:00,71.42
2/8/2023 16:00:00,69.44
2/9/2023 16:00:00,59.63
2/10/2023 16:00:00,57.09
2/13/2023 16:00:00,56.4
2/14/2023 16:00:00,59.03
2/15/2023 16:00:00,69.34
2/16/2023 16:00:00,65.59
2/17/2023 16:00:00,65.2
2/21/2023 16:00:00,62.07
2/22/2023 16:00:00,61.18
2/23/2023 16:00:00,62.36
2/24/2023 16:00:00,58.44
2/27/2023 16:00:00,58.96
2/28/2023 16:00:00,64.83
3/1/2023 16:00:00,64.67
3/2/2023 16:00:00,63.7
3/3/2023 16:00:00,64.51
3/6/2023 16:00:00,62.77
3/7/2023 16:00:00,61.89
3/8/2023 16:00:00,63.01
3/9/2023 16:00:00,58.09
3/10/2023 16:00:00,53.44
3/13/2023 16:00:00,59.17
3/14/2023 16:00:00,62.65
3/15/2023 16:00:00,64.47
3/16/2023 16:00:00,67.78
3/17/2023 16:00:00,74.98
3/20/2023 16:00:00,75.14
3/21/2023 16:00:00,83.99
3/22/2023 16:00:00,77.14
3/23/2023 16:00:00,66.3
3/24/2023 16:00:00,67.83
3/27/2023 16:00:00,62.54
3/28/2023 16:00:00,63.04
