Date,Close
1/2/2015 16:00:00,163.12
1/5/2015 16:00:00,162.98
1/6/2015 16:00:00,157.97
1/7/2015 16:00:00,158
1/8/2015 16:00:00,162.41
1/9/2015 16:00:00,159.62
1/12/2015 16:00:00,158.68
1/13/2015 16:00:00,158.06
1/14/2015 16:00:00,158.7
1/15/2015 16:00:00,153.66
1/16/2015 16:00:00,157.89
1/20/2015 16:00:00,159.98
1/21/2015 16:00:00,158.9
1/22/2015 16:00:00,163.58
1/23/2015 16:00:00,165.21
1/26/2015 16:00:00,168.3
1/27/2015 16:00:00,161.45
1/28/2015 16:00:00,159.03
1/29/2015 16:00:00,161.88
1/30/2015 16:00:00,161.6
2/2/2015 16:00:00,165.01
2/3/2015 16:00:00,167.5
2/4/2015 16:00:00,168.96
2/5/2015 16:00:00,174.22
2/6/2015 16:00:00,175.16
2/9/2015 16:00:00,175.33
2/10/2015 16:00:00,177.83
2/11/2015 16:00:00,178.06
2/12/2015 16:00:00,178.75
2/13/2015 16:00:00,181.24
2/17/2015 16:00:00,179.66
2/18/2015 16:00:00,179.66
2/19/2015 16:00:00,179.62
2/20/2015 16:00:00,179.55
2/23/2015 16:00:00,177.39
2/24/2015 16:00:00,177.33
2/25/2015 16:00:00,179.3
2/26/2015 16:00:00,179.51
2/27/2015 16:00:00,178.34
3/2/2015 16:00:00,179.59
3/3/2015 16:00:00,179.19
3/4/2015 16:00:00,174.68
3/5/2015 16:00:00,170.3
3/6/2015 16:00:00,161.72
3/9/2015 16:00:00,164.86
3/10/2015 16:00:00,161.04
3/11/2015 16:00:00,160.21
3/12/2015 16:00:00,163.03
3/13/2015 16:00:00,164.26
3/16/2015 16:00:00,168.41
3/17/2015 16:00:00,169.96
3/18/2015 16:00:00,173.24
3/19/2015 16:00:00,173.78
3/20/2015 16:00:00,174.76
3/23/2015 16:00:00,174.35
3/24/2015 16:00:00,172.5
3/25/2015 16:00:00,166.96
3/26/2015 16:00:00,169.54
3/27/2015 16:00:00,170.13
3/30/2015 16:00:00,170.91
3/31/2015 16:00:00,169.19
4/1/2015 16:00:00,169.16
4/2/2015 16:00:00,169.52
4/6/2015 16:00:00,170.02
4/7/2015 16:00:00,170.28
4/8/2015 16:00:00,172.07
4/9/2015 16:00:00,173.99
4/10/2015 16:00:00,175.99
4/13/2015 16:00:00,171.96
4/14/2015 16:00:00,171.12
4/15/2015 16:00:00,173.39
4/16/2015 16:00:00,173.35
4/17/2015 16:00:00,170.65
4/20/2015 16:00:00,171.22
4/21/2015 16:00:00,175.39
4/22/2015 16:00:00,176.32
4/23/2015 16:00:00,176.63
4/24/2015 16:00:00,175.09
4/27/2015 16:00:00,173.56
4/28/2015 16:00:00,169.7
4/29/2015 16:00:00,187.07
4/30/2015 16:00:00,182.12
5/1/2015 16:00:00,182.68
