Date,Close
1/2/2015 16:00:00,133.76
1/5/2015 16:00:00,126.72
1/6/2015 16:00:00,124.96
1/7/2015 16:00:00,134.88
1/8/2015 16:00:00,129.44
1/9/2015 16:00:00,125.76
1/12/2015 16:00:00,125.76
1/13/2015 16:00:00,122.08
1/14/2015 16:00:00,117.12
1/15/2015 16:00:00,122.4
1/16/2015 16:00:00,121.6
1/20/2015 16:00:00,115.52
1/21/2015 16:00:00,112.64
1/22/2015 16:00:00,111.84
1/23/2015 16:00:00,106.88
1/26/2015 16:00:00,114.08
1/27/2015 16:00:00,122.24
1/28/2015 16:00:00,119.04
1/29/2015 16:00:00,121.6
1/30/2015 16:00:00,118.24
2/2/2015 16:00:00,115.52
2/3/2015 16:00:00,114.08
2/4/2015 16:00:00,111.2
2/5/2015 16:00:00,108.8
2/6/2015 16:00:00,114.56
2/9/2015 16:00:00,111.2
2/10/2015 16:00:00,109.12
2/11/2015 16:00:00,103.28
2/12/2015 16:00:00,107.36
2/13/2015 16:00:00,106.72
2/17/2015 16:00:00,110.24
2/18/2015 16:00:00,109.6
2/19/2015 16:00:00,109.6
2/20/2015 16:00:00,112.64
2/23/2015 16:00:00,113.28
2/24/2015 16:00:00,112.16
2/25/2015 16:00:00,115.36
2/26/2015 16:00:00,120.8
2/27/2015 16:00:00,117.44
3/2/2015 16:00:00,119.52
3/3/2015 16:00:00,121.44
3/4/2015 16:00:00,120.16
3/5/2015 16:00:00,119.84
3/6/2015 16:00:00,117.92
3/9/2015 16:00:00,111.04
3/10/2015 16:00:00,105.92
3/11/2015 16:00:00,107.84
3/12/2015 16:00:00,111.84
3/13/2015 16:00:00,108
3/16/2015 16:00:00,107.68
3/17/2015 16:00:00,107.36
3/18/2015 16:00:00,105.76
3/19/2015 16:00:00,105.76
3/20/2015 16:00:00,105.6
3/23/2015 16:00:00,111.04
3/24/2015 16:00:00,108.16
3/25/2015 16:00:00,100.64
3/26/2015 16:00:00,99.2
3/27/2015 16:00:00,96.48
3/30/2015 16:00:00,89.44
3/31/2015 16:00:00,92.96
4/1/2015 16:00:00,90.4
4/2/2015 16:00:00,90.4
4/6/2015 16:00:00,87.04
4/7/2015 16:00:00,85.68
4/8/2015 16:00:00,84.48
4/9/2015 16:00:00,83.2
4/10/2015 16:00:00,93.28
4/13/2015 16:00:00,93.28
4/14/2015 16:00:00,95.2
4/15/2015 16:00:00,96.16
4/16/2015 16:00:00,94.08
4/17/2015 16:00:00,93.28
4/20/2015 16:00:00,95.36
4/21/2015 16:00:00,91.2
4/22/2015 16:00:00,92.48
4/23/2015 16:00:00,92.32
4/24/2015 16:00:00,96.96
4/27/2015 16:00:00,92.48
4/28/2015 16:00:00,92.96
4/29/2015 16:00:00,91.68
4/30/2015 16:00:00,92.08
5/1/2015 16:00:00,91.52
5/4/2015 16:00:00,94.4
5/5/2015 16:00:00,91.2
5/6/2015 16:00:00,93.12
5/7/2015 16:00:00,91.68
5/8/2015 16:00:00,92.64
